minRange, maRange, count,
-1.7976931348623157E308, 5.0, 10605, 
5.0, 6.0, 1808, 
6.0, 7.0, 1665, 
7.0, 8.0, 1767, 
8.0, 9.0, 1867, 
9.0, 10.0, 2079, 
10.0, 11.0, 1945, 
11.0, 12.0, 1459, 
12.0, 13.0, 1187, 
13.0, 14.0, 975, 
14.0, 15.0, 906, 
15.0, 16.0, 911, 
16.0, 17.0, 833, 
17.0, 18.0, 822, 
18.0, 19.0, 875, 
19.0, 20.0, 860, 
20.0, 21.0, 1054, 
21.0, 22.0, 1333, 
22.0, 23.0, 1619, 
23.0, 24.0, 1873, 
24.0, 25.0, 1832, 
25.0, 26.0, 1739, 
26.0, 27.0, 1859, 
27.0, 28.0, 1653, 
28.0, 29.0, 1510, 
29.0, 30.0, 1582, 
30.0, 31.0, 1448, 
31.0, 32.0, 1178, 
32.0, 33.0, 1140, 
33.0, 34.0, 1181, 
34.0, 35.0, 1470, 
35.0, 36.0, 1457, 
36.0, 37.0, 1565, 
37.0, 38.0, 1576, 
38.0, 39.0, 1702, 
39.0, 40.0, 1776, 
40.0, 41.0, 1851, 
41.0, 42.0, 1875, 
42.0, 43.0, 2053, 
43.0, 44.0, 1806, 
44.0, 45.0, 1700, 
45.0, 46.0, 1571, 
46.0, 47.0, 1590, 
47.0, 48.0, 1607, 
48.0, 49.0, 1463, 
49.0, 50.0, 1442, 
50.0, 51.0, 1339, 
51.0, 52.0, 1299, 
52.0, 53.0, 1330, 
53.0, 54.0, 1615, 
54.0, 55.0, 1786, 
55.0, 56.0, 1885, 
56.0, 57.0, 1960, 
57.0, 58.0, 1991, 
58.0, 59.0, 2294, 
59.0, 60.0, 2422, 
60.0, 61.0, 2481, 
61.0, 62.0, 2460, 
62.0, 63.0, 2083, 
63.0, 64.0, 1761, 
64.0, 65.0, 1587, 
65.0, 66.0, 1358, 
66.0, 67.0, 1231, 
67.0, 68.0, 1126, 
68.0, 69.0, 1022, 
69.0, 70.0, 1155, 
70.0, 71.0, 1175, 
71.0, 72.0, 1286, 
72.0, 73.0, 1423, 
73.0, 74.0, 1673, 
74.0, 75.0, 1966, 
75.0, 76.0, 1962, 
76.0, 77.0, 1765, 
77.0, 78.0, 1491, 
78.0, 79.0, 1278, 
79.0, 80.0, 1071, 
80.0, 81.0, 733, 
81.0, 82.0, 416, 
82.0, 83.0, 300, 
83.0, 84.0, 197, 
84.0, 85.0, 172, 
85.0, 86.0, 120, 
86.0, 87.0, 124, 
87.0, 88.0, 128, 
88.0, 89.0, 126, 
89.0, 90.0, 109, 
90.0, 91.0, 115, 
91.0, 92.0, 138, 
92.0, 93.0, 153, 
93.0, 94.0, 154, 
94.0, 95.0, 217, 
95.0, 1.7976931348623157E308, 1154, 